103;commons-codec.commons-codec;commons-codec;кодирование бинарных данных
104;commons-collections.commons-collections;commons-collections;коллекции до Java 5.0
105;commons-dbcp.commons-dbcp;commons-dbcp;пул соединений с базами данных
106;commons-digester.commons-digester;commons-digester;парсер XML в объекты
107;commons-discovery.commons-discovery;commons-discovery;инфраструктура для открытия сервисов
108;commons-fileupload.commons-fileupload;commons-fileupload;загрузка файлов
109;commons-httpclient.commons-httpclient;commons-httpclient;HTTP-клиент
110;commons-io.commons-io;commons-io;вход выход потоков
111;commons-jxpath.commons-jxpath;commons-jxpath;XPath для Java объектов
112;commons-lang.commons-lang;commons-lang;утилиты работы со строками и объектами
113;commons-logging.commons-logging;commons-logging;логирование
114;commons-logging.commons-logging-api;commons-logging-api;API логирования
115;commons-math.commons-math;commons-math;математические функции
116;commons-net.commons-net;commons-net;работа по сети
117;commons-pool.commons-pool;commons-pool;пул объектов
118;commons-validator.commons-validator;commons-validator;валидация полей
119;com.nativelibs4java.bridj;bridj;вызов native функций
120;com.nativelibs4java.nativelibs4java-parent;nativelibs4java-parent;родитель POM nativelibs4java
121;com.ning.async-http-client;async-http-client;асинхронный HTTP клиент
122;com.noelios.restlet.com.noelios.restlet;com.noelios.restlet;REST API фреймворк Restlet
123;com.noelios.restlet.com.noelios.restlet.ext.servlet;com.noelios.restlet.ext.servlet;интеграция Restlet со Servlet
124;com.noelios.restlet.com.noelios.restlet.ext.simple;com.noelios.restlet.ext.simple;простой JSON/XML конвертер Restlet
125;com.sleepycat.je;je;Berkeley DB Java Edition
126;com.sun.activation.all;all;рамка активации данных
127;com.sun.faces.jsf-impl;jsf-impl;реализация JSF
128;com.sun.istack.istack-commons;istack-commons;инфраструктура ошибок
129;com.sun.istack.istack-commons-runtime;istack-commons-runtime;инфраструктура ошибок в runtime
130;com.sun.jna.jna;jna;вызов native функций
131;com.sun.media.clibwrapper_jiio;clibwrapper_jiio;ввод-вывод медиа
132;com.sun.org.apache.xml.internal.resolver;resolver;XML каталог ресурсов
133;com.sun.xml.bind.jaxb-bom-ext;jaxb-bom-ext;Maven модуль JAXB
134;com.sun.xml.bind.jaxb-core;jaxb-core;ядро JAXB
135;com.sun.xml.bind.jaxb-impl;jaxb-impl;реализация JAXB
136;com.sun.xml.bind.jaxb-xjc;jaxb-xjc;компилятор схем в классы
137;com.sun.xml.bind.mvn.jaxb-bundles;jaxb-bundles;Maven модули JAXB bundle
138;com.sun.xml.bind.mvn.jaxb-parent;jaxb-parent;родительский POM JAXB
139;com.thoughtworks.qdox.qdox;qdox;парсер Java файлов в метаданные
140;com.thoughtworks.xstream.xstream;xstream;библиотека сериализации объектов в XML
141;com.thoughtworks.xstream.xstream-parent;xstream-parent;родительский POM XStream
142;com.toedter.jcalendar;jcalendar;календарный компонент для Swing
143;com.vividsolutions.jts;jts;геометрические операции с векторной графикой
144;com.vividsolutions.jts-core;jts-core;ядро JTS
145;com.vividsolutions.jts-io;jts-io;форматы ввода-вывода JTS
146;com.vividsolutions.jts-parent;jts-parent;родительский POM JTS
147;de.grundid.opendatalab.geojson-jackson;geojson-jackson;Jackson модуль для GeoJSON
148;de.micromata.jak.JavaAPIforKml;JavaAPIforKml;парсер файлов KML
149;de.zeigermann.xml.xml-im-exporter;xml-im-exporter;экспорт моделей XML
150;dom4j.dom4j;dom4j;библиотека манипуляции DOM XML
151;doxia.doxia-sink-api;doxia-sink-api;API вставки контента Docia
152;edu.stanford.smi.protege.protege;protege;редактор онтологий Protege
153;edu.stanford.smi.protegex.standard_extensions.JGo;JGo;плагин Protege на GO
154;edu.stanford.smi.protegex.standard_extensions.JGoLayout;JGoLayout;layouter Protege GO
155;edu.ucar.bufr;bufr;формат обмена метеоданных BUFR
156;edu.ucar.cdm;cdm;доступ к климатическим данным
157;edu.ucar.httpservices;httpservices;веб-сервисы UCAR
158;edu.ucar.netcdf;netcdf;доступ к данным формата netCDF
159;edu.ucar.netcdf4;netcdf4;доступ к netCDF версии 4
160;edu.ucar.netcdf-parent;netcdf-parent;родительский POM
161;edu.ucar.opendap;opendap;доступ к OPeNDAP данным
162;edu.ucar.thredds-parent;thredds-parent;родительский POM Thredds
163;edu.ucar.udunits;udunits;библиотека для работы с единицами измерений
164;edu.ucla.cs.compilers.jtb;jtb;компилятор Java на основе JavaCC
165;geronimo-spec.geronimo-spec-jta;geronimo-spec-jta;спецификация Java Transaction API
166;gnu.io.RXTXcomm;RXTXcomm;драйверы устройств под Windows, Linux и MacOS
167;gov.nasa.worldwind;worldwind;SDK 3D глобуса WorldWind
168;gov.nasa.worldwind-aggregator;worldwind-aggregator;агрегатор источников данных WorldWind
169;gov.nasa.worldwindx;worldwindx;расширения SDK WorldWind
170;gov.nist.math.jama;jama;численные методы линейной алгебры
171;io.netty.netty;netty;синхронная сетевая платформа Netty
172;io.netty.netty-all;netty-all;все модули Netty
173;io.netty.netty-buffer;netty-buffer;буферизация Netty
174;io.netty.netty-codec;netty-codec;кодирование/декодирование Netty
175;io.netty.netty-common;netty-common;общие ресурсы Netty
176;io.netty.netty-parent;netty-parent;родительский POM Netty
177;io.netty.netty-transport;netty-transport;транспорты Netty
178;io.undertow.undertow-core;undertow-core;ядро веб сервера Undertow
179;io.undertow.undertow-parent;undertow-parent;родительский POM Undertow
180;it.geosolutions.geoserver-manager;geoserver-manager;менеджер конфигурации GeoServer
181;it.geosolutions.imageio-ext.imageio-ext;imageio-ext;расширения ImageIO
182;it.geosolutions.imageio-ext.imageio-ext-arcgrid;imageio-ext-arcgrid;поддержка формата Arc/Info Grid
183;it.geosolutions.imageio-ext.imageio-ext-gdalarcbinarygrid;imageio-ext-gdalarcbinarygrid;формат Arc/Info Binary Grid GDAL
184;it.geosolutions.imageio-ext.imageio-ext-gdalarcgrid;imageio-ext-gdalarcgrid;формат Arc/Info Grid GDAL
185;it.geosolutions.imageio-ext.imageio-ext-gdalbsb;imageio-ext-gdalbsb;формат BSB GDAL
186;it.geosolutions.imageio-ext.imageio-ext-gdaldoq1;imageio-ext-gdaldoq1;формат DOQ1 GDAL
187;it.geosolutions.imageio-ext.imageio-ext-gdaldoq2;imageio-ext-gdaldoq2;формат DOQ2 GDAL
188;it.geosolutions.imageio-ext.imageio-ext-gdaldted;imageio-ext-gdaldted;формат DTED GDAL
189;it.geosolutions.imageio-ext.imageio-ext-gdalecw;imageio-ext-gdalecw;формат ECW GDAL
190;it.geosolutions.imageio-ext.imageio-ext-gdalecwjp2;imageio-ext-gdalecwjp2;формат ECW/JP2 GDAL и т.д. - модули поддержки различных форматов растровых данных в ImageIO
191;it.geosolutions.jaiext.affine.jt-affine;jt-affine;аффинные трансформации
192;it.geosolutions.jaiext.algebra.jt-algebra;jt-algebra;алгебраические операции
193;it.geosolutions.jaiext.bandcombine.jt-bandcombine;jt-bandcombine;комбинация банд
194;it.geosolutions.jaiext.bandmerge.jt-bandmerge;jt-bandmerge;объединение банд
195;it.geosolutions.jaiext.bandselect.jt-bandselect;jt-bandselect;выбор банд
196;it.geosolutions.jaiext.binarize.jt-binarize;jt-binarize;бинаризация
197;it.geosolutions.jaiext.border.jt-border;jt-border;добавление границы
198;it.geosolutions.jaiext.buffer.jt-buffer;jt-buffer;буферизация
199;it.geosolutions.jaiext.classifier.jt-classifier;jt-classifier;классификация
200;it.geosolutions.jaiext.colorconvert.jt-colorconvert;jt-colorconvert;конвертация цвета
201;it.geosolutions.jaiext.colorindexer.jt-colorindexer;jt-colorindexer;индексирование цвета
202;it.geosolutions.jaiext.crop.jt-crop;jt-crop;обрезка
203;it.geosolutions.jaiext.errordiffusion.jt-errordiffusion;jt-errordiffusion;Diffusion ошибок
204;it.geosolutions.jaiext.format.jt-format;jt-format;форматы
205;it.geosolutions.jaiext.imagefunction.jt-imagefunction;jt-imagefunction;функции над изображениями
206;it.geosolutions.jaiext.iterators.jt-iterators;jt-iterators;итераторы
207;it.geosolutions.jaiext.jaiext;jaiext;ядро библиотеки JAI Ext
208;it.geosolutions.jaiext.lookup.jt-lookup;jt-lookup;lookups
209;it.geosolutions.jaiext.mosaic.jt-mosaic;jt-mosaic;мозаика
210;it.geosolutions.jaiext.nullop.jt-nullop;jt-nullop;пустая операция
211;it.geosolutions.jaiext.orderdither.jt-orderdither;jt-orderdither;упорядоченная диффузия
212;it.geosolutions.jaiext.piecewise.jt-piecewise;jt-piecewise;пошаговые функции
213;it.geosolutions.jaiext.rescale.jt-rescale;jt-rescale;масштабирование
214;it.geosolutions.jaiext.rlookup.jt-rlookup;jt-rlookup;обратный lookups
215;it.geosolutions.jaiext.scale.jt-scale;jt-scale;масштаб
216;it.geosolutions.jaiext.scheduler.jt-scheduler;jt-scheduler;планировщик
217;it.geosolutions.jaiext.stats.jt-stats;jt-stats;статистика
218;it.geosolutions.jaiext.translate.jt-translate;jt-translate;перемещение
219;it.geosolutions.jaiext.utilities.jt-utilities;jt-utilities;утилиты
220;it.geosolutions.jaiext.vectorbin.jt-vectorbin;jt-vectorbin;векторная бинаризация
221;it.geosolutions.jaiext.warp.jt-warp;jt-warp;искажение
222;it.geosolutions.jaiext.zonal.jt-zonal;jt-zonal;зональный анализ
223;java3d.vecmath;vecmath;библиотека векторных операций Java 3D
224;javassist.javassist;javassist;библиотека для инструментирования классов Java
225;javax.activation.activation;activation;инфраструктура активации данных
226;javax.activation.javax.activation-api;javax.activation-api;API активации данных
227;javax.annotation.javax.annotation-api;javax.annotation-api;API аннотаций Java
228;javax.annotation.jsr250-api;jsr250-api;API стандартных аннотаций
229;javax.comm.comm;comm;интерфейсы JavaComm
230;javax.enterprise.cdi-api;cdi-api;API CDI (Context and Dependency Injection)
231;javax.help.javahelp;javahelp;система оказания помощи Java
232;javax.inject.javax.inject;javax.inject;модуль инъекции зависимостей DI
233;javax.javaee-web-api;javaee-web-api;API веб-компонентов Java EE
234;javax.mail.mail;mail;API работы с электронной почтой
235;javax.media.jai_codec;jai_codec;кодеки Java Advanced Imaging
236;javax.media.jai_core;jai_core;ядро библиотеки Java Advanced Imaging
237;javax.media.jai_imageio;jai_imageio;ImageIO для JAI
238;javax.servlet.javax.servlet-api;javax.servlet-api;API сервлетов
239;javax.servlet.servlet-api;servlet-api;API сервлетов
240;javax.validation.validation-api;validation-api;API валидации
241;javax.ws.rs.javax.ws.rs-api;javax.ws.rs-api;JAX-RS API
242;javax.xml.bind.jaxb-api;jaxb-api;API языка описания схем JAXB
243;javax.xml.bind.jaxb-api-parent;jaxb-api-parent;модуль jaxb-api
244;javax.xml.bind.jsr173_api;jsr173_api;API пакета jaxb 1.0
245;javax.xml.jsr173;jsr173;спецификации JAXB
246;javax.xml.stream.stax-api;stax-api;API парсинга XML стримов
247;jaxen.jaxen;jaxen;XPath для Java
248;jboss.jbossws.jboss-jaxrpc;jboss-jaxrpc;реализация JAX-RPC для JBoss
249;jdom.jdom;jdom;DOM-подобная библиотека работы с XML
250;jfree.jcommon;jcommon;общие компоненты JFreeChart
251;jfree.jfreechart;jfreechart;библиотека построения диаграмм
252;jgridshift.jgridshift;jgridshift;преобразования гратических сеток
253;jline.jline;jline;библиотека работы с консолью
254;joda-time.joda-time;joda-time;библиотека работы с датой и временем
255;jogl.jogl;jogl;OpenGL для Java
256;junit.junit;junit;фреймворк для тестирования
257;log4j.log4j;log4j;популярный логгер для Java
258;logkit.logkit;logkit;набор классов для логирования
259;mysql.mysql-connector-java;mysql-connector-java;JDBC драйвер для MySQL
260;net.coderazzi.tablefilter-swing;tablefilter-swing;фильтрация таблиц Swing
261;net.coobird.thumbnailator;thumbnailator;генерация миниатюр изображений
262;net.java.dev.glazedlists.glazedlists_java15;glazedlists_java15;списки для Java 1.5
263;net.java.dev.javacc.javacc;javacc;компилятор JavaCC
264;net.java.dev.jna.jna;jna;интерфейс доступа к native-коду
265;net.java.dev.jna.jna-platform;jna-platform;
266;net.java.dev.jsr-275.jsr-275;jsr-275;спецификация языковых ресурсов
267;net.java.jvnet-parent;jvnet-parent;родительский модуль Java.net
268;net.jcip.jcip-annotations;jcip-annotations;аннотации паттернов параллельного программирования
269;net.lingala.zip4j.zip4j;zip4j;API работы с ZIP-архивами
270;net.objecthunter.exp4j;exp4j;парсер математических выражений
271;net.sf.ehcache.ehcache;ehcache;кеширующий HTTP-сервис
272;net.sf.ehcache.ehcache-core;ehcache-core;ядро Ehcache
273;net.sf.ehcache.ehcache-parent;ehcache-parent;модуль Ehcache
274;net.sf.ezmorph.ezmorph;ezmorph;библиотека копирования объектов
275;net.sf.geographiclib.GeographicLib-Java;GeographicLib-Java;геопространственные вычисления
276;net.sf.json-lib.json-lib;json-lib;библиотека сериализации в JSON
277;net.sf.jtidy.jtidy.r938.jtidy-r938.pom;jtidy-r938.pom;парсер HTML Tidy
278;net.sf.opencsv.opencsv;opencsv;CSV парсер
279;net.sf.supercsv.super-csv;super-csv;CVS процессор
280;net.sf.supercsv.super-csv-distribution;super-csv-distribution;распространение Super CSV
281;net.sf.supercsv.super-csv-dozer;super-csv-dozer;интеграция Super CSV и Dozer
282;net.sf.supercsv.super-csv-parent;super-csv-parent;модуль Super CSV
283;net.sourceforge.cobertura.cobertura;cobertura;инструмент отслеживания покрытия тестами
284;net.sourceforge.cobertura.cobertura-runtime;cobertura-runtime;runtime Cobertura
285;net.sourceforge.cssparser.cssparser;cssparser;парсер CSS
286;net.sourceforge.f2j.arpack_combined_all;arpack_combined_all;численные методы линейной алгебры
287;net.sourceforge.hatbox.hatbox;hatbox;классификатор текстов на языках
288;net.sourceforge.htmlcleaner.htmlcleaner;htmlcleaner;парсер HTML
289;org.apache.maven.shared.maven-dependency-tree;maven-dependency-tree;модуль отображения дерева зависимостей Maven
290;org.apache.maven.shared.maven-dependency-tree;maven-dependency-tree;другая версия модуля Maven
291;org.apache.ant.ant;ant;система сборки Apache Ant
292;org.apache.ant.ant-init;ant-init;инициализация Ant
293;org.apache.ant.ant-launcher;ant-launcher;запуск Ant
294;org.apache.ant.ant-parent;ant-parent;родительский модуль Ant
295;org.apache.apache;apache;родительский модуль Apache
296;org.apache.aries.blueprint.org.apache.aries.blueprint.api;org.apache.aries.blueprint.api;API OSGi блюпринтов Aries
297;org.apache.aries.blueprint.org.apache.aries.blueprint.cm;org.apache.aries.blueprint.cm;управление жизненным циклом
298;org.apache.aries.blueprint.org.apache.aries.blueprint.core;org.apache.aries.blueprint.core;ядро Aries blueprint
299;org.apache.aries.default-parent;default-parent;родительский модуль Aries
300;org.apache.aries.java5-parent;java5-parent;родитель POM для Java 5
301;org.apache.aries.org.apache.aries.util;org.apache.aries.util;вспомогательные классы Aries
302;org.apache.aries.parent;parent;родительский модуль Aries
303;org.apache.aries.proxy.org.apache.aries.proxy.api;org.apache.aries.proxy.api;API проксирования Aries
304;org.apache.aries.proxy.org.apache.aries.proxy.impl;org.apache.aries.proxy.impl;реализация прокси Aries
305;org.apache.aries.quiesce.org.apache.aries.quiesce.api;org.apache.aries.quiesce.api;API управления остановкой сервисов
306;org.apache.avalon.avalon-framework;avalon-framework;компонентная модель Avalon
307;org.apache.avalon.framework.avalon-framework-api;avalon-framework-api;API Avalon
308;org.apache.avalon.framework.avalon-framework-impl;avalon-framework-impl;реализация Avalon
309;org.apache.avro.avro;avro;фреймворк Apache Avro
310;org.apache.avro.avro-parent;avro-parent;родительский POM Avro
311;org.apache.avro.avro-toplevel;avro-toplevel;верхний уровень Avro
312;org.apache.axis.axis;axis;веб-сервисы Axis
313;org.apache.camel.camel;camel;EIP реализация Camel
314;org.apache.camel.camel-blueprint;camel-blueprint;интеграция Camel с OSGi
315;org.apache.camel.camel-core;camel-core;ядро Camel
316;org.apache.camel.camel-core-osgi;camel-core-osgi;OSGi адаптер Camel
317;org.apache.camel.camel-core-xml;camel-core-xml;XML конфигурация Camel
318;org.apache.camel.camel-ejb;camel-ejb;интеграция Camel с EJB
319;org.apache.camel.camel-ftp;camel-ftp;компонент FTP Camel
320;org.apache.camel.camel-http;camel-http;компонент HTTP Camel
321;org.apache.camel.camel-http4;camel-http4;HTTP4 компонент Camel
322;org.apache.camel.camel-http-common;camel-http-common;общий HTTP компонент Camel
323;org.apache.camel.camel-mina2;camel-mina2;кампонент Camel на основе MINA
324;org.apache.camel.camel-netty;camel-netty;компонент Netty Camel
325;org.apache.camel.camel-netty4;camel-netty4;Netty 4 компонент Camel
326;org.apache.camel.camel-netty4-http;camel-netty4-http;HTTP на Netty4 в Camel
327;org.apache.camel.camel-parent;camel-parent;родительский модуль Camel
328;org.apache.camel.camel-test;camel-test;тестовый фреймворк Camel
329;org.apache.camel.camel-test-blueprint;camel-test-blueprint;тесты с blueprints Camel
330;org.apache.camel.components;components;дополнительные компоненты Camel
331;org.apache.commons.commons-compress;commons-compress;архивация и декомпрессия
332;org.apache.commons.commons-io;commons-io;ввод-вывод
333;org.apache.commons.commons-lang3;commons-lang3;утилиты для работы со строками
334;org.apache.commons.commons-math3;commons-math3;математические функции
335;org.apache.commons.commons-parent;commons-parent;родительский модуль Commons
336;org.apache.directory.project.project;project;модуль Apache Directory Server
337;org.apache.directory.server.apacheds-all;apacheds-all;все модули ADS
338;org.apache.directory.server.apacheds-bootstrap-extract;apacheds-bootstrap-extract;основные классы ADS
339;org.apache.directory.server.apacheds-bootstrap-partition;apacheds-bootstrap-partition;инициализация партиций ADS
340;org.apache.directory.server.apacheds-bootstrap-plugin;apacheds-bootstrap-plugin;плагины запуска ADS
341;org.apache.directory.server.apacheds-core;apacheds-core;ядро ADS
342;org.apache.directory.server.apacheds-core-avl;apacheds-core-avl;AVL деревья ADS
343;org.apache.directory.server.apacheds-core-constants;apacheds-core-constants;константы ADS
344;org.apache.directory.server.apacheds-core-entry;apacheds-core-entry;записи ADS
345;org.apache.directory.server.apacheds-core-integ;apacheds-core-integ;интеграционные тесты ADS
346;org.apache.directory.server.apacheds-core-jndi;apacheds-core-jndi;JNDI provider ADS
347;org.apache.directory.server.apacheds-core-plugin;apacheds-core-plugin;плагинный интерфейс ADS
348;org.apache.directory.server.apacheds-core-shared;apacheds-core-shared;общие ресурсы ADS
349;org.apache.directory.server.apacheds-core-unit;apacheds-core-unit;унит-тесты ADS
350;org.apache.directory.server.apacheds-interceptor-kerberos;apacheds-interceptor-kerberos;перехватчик Kerberos ADS
351;org.apache.directory.server.apacheds-jdbm;apacheds-jdbm;backing store JDBM
352;org.apache.directory.server.apacheds-jdbm-store;apacheds-jdbm-store;хранилище JDBM
353;org.apache.directory.server.apacheds-kerberos-shared;apacheds-kerberos-shared;общие классы Kerberos
354;org.apache.directory.server.apacheds-parent;apacheds-parent;родительский модуль ADS
355;org.apache.directory.server.apacheds-protocol-changepw;apacheds-protocol-changepw;протокол смены пароля
356;org.apache.directory.server.apacheds-protocol-dhcp;apacheds-protocol-dhcp;протокол DHCP
357;org.apache.directory.server.apacheds-protocol-dns;apacheds-protocol-dns;протокол DNS
358;org.apache.directory.server.apacheds-protocol-kerberos;apacheds-protocol-kerberos;протокол Kerberos
359;org.apache.directory.server.apacheds-protocol-ldap;apacheds-protocol-ldap;протокол LDAP
360;org.apache.directory.server.apacheds-protocol-ntp;apacheds-protocol-ntp;протокол NTP
361;org.apache.directory.server.apacheds-protocol-shared;apacheds-protocol-shared;общий протоколный интерфейс
